Date : 2023-02-09 14:58:57
Directory : e:\marketplace
Total : 118 files,  25299 codes, 408 comments, 396 blanks, all 26103 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| components\Latest                                                           |          1 |         70 |          0 |          2 |         72 |
| components\Popular                                                          |          3 |         92 |          0 |          9 |        101 |
| components\Popular (Files)                                                  |          1 |         37 |          0 |          3 |         40 |
| components\Popular\Sellers                                                  |          2 |         55 |          0 |          6 |         61 |
| components\ProfilePhotoUploader                                             |          1 |         44 |          0 |          3 |         47 |
| components\Trending                                                         |          1 |         55 |          0 |          4 |         59 |
| components\UI                                                               |         13 |        624 |          4 |         66 |        694 |
| components\UI\Bid                                                           |          1 |        105 |          0 |          6 |        111 |
| components\UI\Button                                                        |          1 |         45 |          0 |          6 |         51 |
| components\UI\CategoryPicker                                                |          1 |         96 |          0 |          6 |        102 |
| components\UI\DropDown                                                      |          1 |        102 |          1 |          6 |        109 |
| components\UI\EditBidModal                                                  |          1 |         23 |          0 |          6 |         29 |
| components\UI\InputBlock                                                    |          1 |         20 |          0 |          2 |         22 |
| components\UI\Label                                                         |          1 |         17 |          0 |          3 |         20 |
| components\UI\NavArrows                                                     |          1 |         19 |          0 |          2 |         21 |
| components\UI\NoPhoto                                                       |          1 |         14 |          0 |          2 |         16 |
| components\UI\RangeSlider                                                   |          2 |        134 |          3 |         22 |        159 |
| components\UI\ToggleBlock                                                   |          1 |         29 |          0 |          2 |         31 |
| components\UI\loaders                                                       |          1 |         20 |          0 |          3 |         23 |
| components\widgets                                                          |         13 |        331 |          0 |         51 |        382 |
| components\widgets (Files)                                                  |          1 |         36 |          0 |          6 |         42 |
| components\widgets\CircleLoader                                             |          2 |         22 |          0 |          4 |         26 |
| components\widgets\DropDown                                                 |          1 |         65 |          0 |          3 |         68 |
| components\widgets\Favourite                                                |          1 |         14 |          0 |          2 |         16 |
| components\widgets\HyperLink                                                |          1 |         10 |          0 |          2 |         12 |
| components\widgets\PurchaseButton                                           |          2 |         24 |          0 |          4 |         28 |
| components\widgets\SearchBar                                                |          1 |         24 |          0 |          2 |         26 |
| components\widgets\StarRating                                               |          4 |        136 |          0 |         28 |        164 |
| components\widgets\StarRating (Files)                                       |          1 |         76 |          0 |         11 |         87 |
| components\widgets\StarRating\components                                    |          3 |         60 |          0 |         17 |         77 |
| context                                                                     |          2 |        143 |          5 |         23 |        171 |
| functions                                                                   |          4 |      5,911 |          4 |          6 |      5,921 |
| lib                                                                         |          1 |         19 |          5 |          6 |         30 |
| pages                                                                       |         15 |        875 |        195 |         83 |      1,153 |
| pages (Files)                                                               |          3 |         91 |          5 |          8 |        104 |
| pages\api                                                                   |          6 |        117 |          1 |         27 |        145 |
| pages\api (Files)                                                           |          3 |         44 |          1 |         12 |         57 |
| pages\api\addURL                                                            |          1 |         16 |          0 |          5 |         21 |
| pages\api\getProducts                                                       |          2 |         57 |          0 |         10 |         67 |
| pages\login                                                                 |          2 |        203 |          0 |         13 |        216 |
| pages\login (Files)                                                         |          1 |        191 |          0 |         11 |        202 |
| pages\login\utils                                                           |          1 |         12 |          0 |          2 |         14 |
| pages\product                                                               |          1 |        151 |          3 |          9 |        163 |
| pages\profile                                                               |          2 |        221 |          0 |         17 |        238 |
| pages\uploadPage                                                            |          1 |         92 |        186 |          9 |        287 |
| public                                                                      |         22 |        142 |          3 |         17 |        162 |
| public (Files)                                                              |          1 |          4 |          0 |          1 |          5 |
| public\svg                                                                  |         21 |        138 |          3 |         16 |        157 |
| redux                                                                       |          5 |        114 |          0 |         21 |        135 |
| redux (Files)                                                               |          1 |         11 |          0 |          2 |         13 |
| redux\slices                                                                |          4 |        103 |          0 |         19 |        122 |
| types                                                                       |          1 |          4 |          0 |          2 |          6 |
| utils                                                                       |         11 |        186 |         19 |         27 |        232 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\marketplace\.eslintrc.json                                               | JSON with Comments |          3 |          0 |          1 |          4 |
| e:\marketplace\README.md                                                    | Markdown           |         13 |          0 |          5 |         18 |
| e:\marketplace\assets\styles\globals.css                                    | PostCSS            |         36 |          0 |          4 |         40 |
| e:\marketplace\components\Auction\index.jsx                                 | JavaScript React   |         30 |          0 |          3 |         33 |
| e:\marketplace\components\BidEditor\index.js                                | JavaScript         |         92 |        171 |         12 |        275 |
| e:\marketplace\components\Discover\index.jsx                                | JavaScript React   |        131 |          0 |          8 |        139 |
| e:\marketplace\components\Dragger\index.jsx                                 | JavaScript React   |         86 |          0 |          8 |         94 |
| e:\marketplace\components\Earn\index.jsx                                    | JavaScript React   |         32 |          0 |          2 |         34 |
| e:\marketplace\components\Footer\index.jsx                                  | JavaScript React   |         71 |          0 |          2 |         73 |
| e:\marketplace\components\Header\Header.module.scss                         | SCSS               |          7 |          0 |          1 |          8 |
| e:\marketplace\components\Header\index.jsx                                  | JavaScript React   |         82 |          0 |          5 |         87 |
| e:\marketplace\components\Hero\index.jsx                                    | JavaScript React   |         14 |          0 |          2 |         16 |
| e:\marketplace\components\HotCollections\index.jsx                          | JavaScript React   |         44 |          0 |          2 |         46 |
| e:\marketplace\components\ImageBlock.jsx                                    | JavaScript React   |         23 |          0 |          4 |         27 |
| e:\marketplace\components\Latest\index.jsx                                  | JavaScript React   |         70 |          0 |          2 |         72 |
| e:\marketplace\components\Layout.jsx                                        | JavaScript React   |         24 |          0 |          2 |         26 |
| e:\marketplace\components\Popular\Sellers\SellerCard.jsx                    | JavaScript React   |         43 |          0 |          4 |         47 |
| e:\marketplace\components\Popular\Sellers\index.jsx                         | JavaScript React   |         12 |          0 |          2 |         14 |
| e:\marketplace\components\Popular\index.jsx                                 | JavaScript React   |         37 |          0 |          3 |         40 |
| e:\marketplace\components\ProfilePhotoUploader\index.jsx                    | JavaScript React   |         44 |          0 |          3 |         47 |
| e:\marketplace\components\Trending\index.jsx                                | JavaScript React   |         55 |          0 |          4 |         59 |
| e:\marketplace\components\UI\Bid\index.jsx                                  | JavaScript React   |        105 |          0 |          6 |        111 |
| e:\marketplace\components\UI\Button\index.jsx                               | JavaScript React   |         45 |          0 |          6 |         51 |
| e:\marketplace\components\UI\CategoryPicker\index.jsx                       | JavaScript React   |         96 |          0 |          6 |        102 |
| e:\marketplace\components\UI\DropDown\index.jsx                             | JavaScript React   |        102 |          1 |          6 |        109 |
| e:\marketplace\components\UI\EditBidModal\index.tsx                         | TypeScript React   |         23 |          0 |          6 |         29 |
| e:\marketplace\components\UI\InputBlock\index.jsx                           | JavaScript React   |         20 |          0 |          2 |         22 |
| e:\marketplace\components\UI\Label\index.jsx                                | JavaScript React   |         17 |          0 |          3 |         20 |
| e:\marketplace\components\UI\NavArrows\index.jsx                            | JavaScript React   |         19 |          0 |          2 |         21 |
| e:\marketplace\components\UI\NoPhoto\index.jsx                              | JavaScript React   |         14 |          0 |          2 |         16 |
| e:\marketplace\components\UI\RangeSlider\RangeSlider.css                    | PostCSS            |         78 |          3 |         14 |         95 |
| e:\marketplace\components\UI\RangeSlider\index.jsx                          | JavaScript React   |         56 |          0 |          8 |         64 |
| e:\marketplace\components\UI\ToggleBlock\index.jsx                          | JavaScript React   |         29 |          0 |          2 |         31 |
| e:\marketplace\components\UI\loaders\ProfileLoader.jsx                      | JavaScript React   |         20 |          0 |          3 |         23 |
| e:\marketplace\components\widgets\CircleLoader\CircleLoader.module.css      | PostCSS            |         16 |          0 |          2 |         18 |
| e:\marketplace\components\widgets\CircleLoader\index.jsx                    | JavaScript React   |          6 |          0 |          2 |          8 |
| e:\marketplace\components\widgets\Counter.jsx                               | JavaScript React   |         36 |          0 |          6 |         42 |
| e:\marketplace\components\widgets\DropDown\index.jsx                        | JavaScript React   |         65 |          0 |          3 |         68 |
| e:\marketplace\components\widgets\Favourite\index.jsx                       | JavaScript React   |         14 |          0 |          2 |         16 |
| e:\marketplace\components\widgets\HyperLink\index.jsx                       | JavaScript React   |         10 |          0 |          2 |         12 |
| e:\marketplace\components\widgets\PurchaseButton\PurchaseButton.module.scss | SCSS               |         14 |          0 |          2 |         16 |
| e:\marketplace\components\widgets\PurchaseButton\index.jsx                  | JavaScript React   |         10 |          0 |          2 |         12 |
| e:\marketplace\components\widgets\SearchBar\index.jsx                       | JavaScript React   |         24 |          0 |          2 |         26 |
| e:\marketplace\components\widgets\StarRating\StarRating.js                  | JavaScript         |         76 |          0 |         11 |         87 |
| e:\marketplace\components\widgets\StarRating\components\Star.js             | JavaScript         |         36 |          0 |          5 |         41 |
| e:\marketplace\components\widgets\StarRating\components\StarRatingLabel.js  | JavaScript         |          9 |          0 |          5 |         14 |
| e:\marketplace\components\widgets\StarRating\components\StarsList.js        | JavaScript         |         15 |          0 |          7 |         22 |
| e:\marketplace\constants.js                                                 | JavaScript         |        120 |          0 |          1 |        121 |
| e:\marketplace\context\AuthContext.js                                       | JavaScript         |         99 |          5 |         16 |        120 |
| e:\marketplace\context\UploadContext.js                                     | JavaScript         |         44 |          0 |          7 |         51 |
| e:\marketplace\firebase.js                                                  | JavaScript         |         19 |          0 |          5 |         24 |
| e:\marketplace\firebase.json                                                | JSON               |          9 |          0 |          1 |         10 |
| e:\marketplace\functions\.eslintrc.js                                       | JavaScript         |         14 |          0 |          1 |         15 |
| e:\marketplace\functions\index.js                                           | JavaScript         |          8 |          4 |          3 |         15 |
| e:\marketplace\functions\package-lock.json                                  | JSON               |      5,863 |          0 |          1 |      5,864 |
| e:\marketplace\functions\package.json                                       | JSON               |         26 |          0 |          1 |         27 |
| e:\marketplace\lib\mongodb.ts                                               | TypeScript         |         19 |          5 |          6 |         30 |
| e:\marketplace\next.config.js                                               | JavaScript         |         11 |          1 |          1 |         13 |
| e:\marketplace\package-lock.json                                            | JSON               |     15,729 |          0 |          1 |     15,730 |
| e:\marketplace\package.json                                                 | JSON               |         44 |          0 |          1 |         45 |
| e:\marketplace\pages\_app.tsx                                               | TypeScript React   |         17 |          0 |          1 |         18 |
| e:\marketplace\pages\api\addURL\[productId].js                              | JavaScript         |         16 |          0 |          5 |         21 |
| e:\marketplace\pages\api\getProducts\[productId].js                         | JavaScript         |         15 |          0 |          6 |         21 |
| e:\marketplace\pages\api\getProducts\index.js                               | JavaScript         |         42 |          0 |          4 |         46 |
| e:\marketplace\pages\api\hello.ts                                           | TypeScript         |          9 |          1 |          3 |         13 |
| e:\marketplace\pages\api\movies.js                                          | JavaScript         |         11 |          0 |          4 |         15 |
| e:\marketplace\pages\api\uploadProduct.js                                   | JavaScript         |         24 |          0 |          5 |         29 |
| e:\marketplace\pages\index.tsx                                              | TypeScript React   |         35 |          5 |          4 |         44 |
| e:\marketplace\pages\login\index.jsx                                        | JavaScript React   |        191 |          0 |         11 |        202 |
| e:\marketplace\pages\login\utils\createUsername.js                          | JavaScript         |         12 |          0 |          2 |         14 |
| e:\marketplace\pages\product\[productId].jsx                                | JavaScript React   |        151 |          3 |          9 |        163 |
| e:\marketplace\pages\profile\[index].jsx                                    | JavaScript React   |        110 |          0 |         10 |        120 |
| e:\marketplace\pages\profile\edit.jsx                                       | JavaScript React   |        111 |          0 |          7 |        118 |
| e:\marketplace\pages\test.jsx                                               | JavaScript React   |         39 |          0 |          3 |         42 |
| e:\marketplace\pages\uploadPage\index.jsx                                   | JavaScript React   |         92 |        186 |          9 |        287 |
| e:\marketplace\postcss.config.js                                            | JavaScript         |          6 |          0 |          1 |          7 |
| e:\marketplace\public\exit.svg                                              | XML                |          4 |          0 |          1 |          5 |
| e:\marketplace\public\svg\bids.svg                                          | XML                |         22 |          0 |          1 |         23 |
| e:\marketplace\public\svg\champ.svg                                         | XML                |          6 |          0 |          1 |          7 |
| e:\marketplace\public\svg\creator.svg                                       | XML                |         11 |          0 |          1 |         12 |
| e:\marketplace\public\svg\exit.svg                                          | XML                |          4 |          0 |          1 |          5 |
| e:\marketplace\public\svg\greenCheckmark.svg                                | XML                |          1 |          0 |          0 |          1 |
| e:\marketplace\public\svg\insta.svg                                         | XML                |          5 |          0 |          1 |          6 |
| e:\marketplace\public\svg\leftArrow.svg                                     | XML                |          3 |          0 |          1 |          4 |
| e:\marketplace\public\svg\lightning.svg                                     | XML                |          3 |          0 |          1 |          4 |
| e:\marketplace\public\svg\love.svg                                          | XML                |          4 |          0 |          1 |          5 |
| e:\marketplace\public\svg\no-photo.svg                                      | XML                |         22 |          1 |          0 |         23 |
| e:\marketplace\public\svg\others.svg                                        | XML                |         11 |          0 |          1 |         12 |
| e:\marketplace\public\svg\pencil.svg                                        | XML                |          6 |          1 |          0 |          7 |
| e:\marketplace\public\svg\plus.svg                                          | XML                |          4 |          0 |          1 |          5 |
| e:\marketplace\public\svg\pro.svg                                           | XML                |          4 |          0 |          1 |          5 |
| e:\marketplace\public\svg\remove.svg                                        | XML                |         14 |          1 |          0 |         15 |
| e:\marketplace\public\svg\rightArrow.svg                                    | XML                |          3 |          0 |          1 |          4 |
| e:\marketplace\public\svg\search.svg                                        | XML                |          3 |          0 |          1 |          4 |
| e:\marketplace\public\svg\share.svg                                         | XML                |          5 |          0 |          1 |          6 |
| e:\marketplace\public\svg\telegram.svg                                      | XML                |          1 |          0 |          0 |          1 |
| e:\marketplace\public\svg\top.svg                                           | XML                |          3 |          0 |          1 |          4 |
| e:\marketplace\public\svg\upArrow.svg                                       | XML                |          3 |          0 |          1 |          4 |
| e:\marketplace\redux\slices\headerSlice.js                                  | JavaScript         |         18 |          0 |          5 |         23 |
| e:\marketplace\redux\slices\modalSlice.ts                                   | TypeScript         |         21 |          0 |          4 |         25 |
| e:\marketplace\redux\slices\ss.js                                           | JavaScript         |         23 |          0 |          5 |         28 |
| e:\marketplace\redux\slices\uploadSlice.js                                  | JavaScript         |         41 |          0 |          5 |         46 |
| e:\marketplace\redux\store.js                                               | JavaScript         |         11 |          0 |          2 |         13 |
| e:\marketplace\tailwind.config.js                                           | JavaScript         |         43 |          1 |          2 |         46 |
| e:\marketplace\tsconfig.json                                                | JSON with Comments |         20 |          0 |          1 |         21 |
| e:\marketplace\types\mongodb.d.ts                                           | TypeScript         |          4 |          0 |          2 |          6 |
| e:\marketplace\utils\addURL.js                                              | JavaScript         |          6 |          6 |          0 |         12 |
| e:\marketplace\utils\checkEmail.js                                          | JavaScript         |         15 |          0 |          3 |         18 |
| e:\marketplace\utils\checkUsername.js                                       | JavaScript         |          7 |          0 |          2 |          9 |
| e:\marketplace\utils\createAccount.js                                       | JavaScript         |          9 |          0 |          2 |         11 |
| e:\marketplace\utils\getProfile.js                                          | JavaScript         |         13 |          1 |          4 |         18 |
| e:\marketplace\utils\getThumb.js                                            | JavaScript         |         15 |          0 |          2 |         17 |
| e:\marketplace\utils\parseTittle.js                                         | JavaScript         |         10 |          0 |          3 |         13 |
| e:\marketplace\utils\updateProfileInfo.js                                   | JavaScript         |         20 |          0 |          2 |         22 |
| e:\marketplace\utils\updateProfilePhoto.js                                  | JavaScript         |         47 |          4 |          3 |         54 |
| e:\marketplace\utils\uploadItem.js                                          | JavaScript         |         12 |          0 |          2 |         14 |
| e:\marketplace\utils\uploadPhotos.js                                        | JavaScript         |         32 |          8 |          4 |         44 |
| e:\marketplace\webpack.config.js                                            | JavaScript         |          0 |          0 |          1 |          1 |
| Total                                                                       |                    |     25,299 |        408 |        396 |     26,103 |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
